"Дата заявки";"п/н ";"Адрес";"Округ";"Наименование";"Доп. информация";"Телефон клиента или менеджер";"Статус заявки";"Что сделано, отчет техника/инженера по месту";"Комментарий инженера";"Latitude";"Longitude"
"02.09.2024";"133427";"г.Электросталь проспект Ленина д. 3 Б";"Электросталь";"Магазин одежды смешные цены";"АБ ШС 17/20 + Ложные тревоги (частые) ШС 18/19/21";"-";"не назначено";"-";"-";"55.8063854";"38.436936"
"02.09.2024";"133708";"улица Бориса Пастернака, 17";"Рассказовка";"Вкусно Хаус";"Потери датчиков";"-";"не назначено";"-";"-";"55.6383103";"37.3256328"
"02.09.2024";"134435";"Ярославль, улица Победы, 41";"Ярославль";"Магазин Групп ГР 6512092 ООО РЕ Трэйдинг";"НКС";"-";"не назначено";"-";"-";"57.627753";"39.871153"
"02.09.2024";"131837";"Тула, Китаевский проезд, 5";"Тула";"Склад ООО Орбита ОПТ";"НКС";"-";"не назначено";"-";"-";"54.1837258";"37.5630572"
"02.09.2024";"130592";"Москва, Ясный проезд, 10";"Свиблово";"Маркет Гастроном ООО Феникс";"ШС 17 Тампер + АБ ШС 18";"-";"не назначено";"-";"-";"55.8738212";"37.6292624"
"02.09.2024";"132182";"Москва, Щёлковское шоссе, 75";"Щёлковская";"Магазин Хаус ООО РЕ Трэйдинг";"АКБ прибора";"-";"не назначено";"-";"-";"55.811098";"37.8001762"
"02.09.2024";"133469";"Москва, Широкая улица, 16А";"Медведково";"Пекарня Хлебница ИП Казакова М.М";"НКС";"-";"не назначено";"-";"-";"55.8873349";"37.6623728"
"02.09.2024";"130695";"Москва, Профсоюзная улица, 144";"Тёплый Стан";"Магазин разливных напитков ИП Спанко О.А";"ШС 17/18 тревоги при постановке на охрану";"-";"не назначено";"-";"-";"55.624347";"37.508292"
"02.09.2024";"132912";"Москва, Новопеределкинская улица, 16к1";"Боровское шоссе";"Аптека Планета Здоровья ООО Парацельс";"АКБ прибора";"-";"не назначено";"-";"-";"55.6431764";"37.3652329"
"02.09.2024";"133782";"Москва, Нагатинская улица, 25";"Коломенская";"ПВЗ Вайлдберрис ИП Сухов Е.В";"Повторные и ложные сработки ШС 17/18";"-";"не назначено";"-";"-";"55.6785857";"37.6518933"
"02.09.2024";"134901";"Москва, Ленская улица, 15с16";"Бабушкинская";"Диспетчерский пункт ГБУЗ ГКБ им. А. К. Ерамишанцева ДЗМ, ООО ЧОП ""Радуга""";"НКС";"-";"не назначено";"-";"-";"55.8657697";"37.6649506"
"02.09.2024";"134408";"Москва, Краснопрудная улица, 28";"Красносельская";"Департамент ГОЧС и ПБ г. Москвы (каб. 213)";"НКС";"-";"не назначено";"-";"-";"55.7793865";"37.6676819"
"02.09.2024";"134727";"Москва, Краснопрудная улица, 28";"Красносельская";"Департамент ГОЧС и ПБ г. Москвы (главный вход)";"НКС";"-";"не назначено";"-";"-";"55.7793865";"37.6676819"
"02.09.2024";"135195";"Москва, Большая Черкизовская улица, 22к7";"Черкизовская";"Хостел Черкизовская ООО Славлери";"Потери связи + АКБ прибора";"-";"не назначено";"-";"-";"55.7946384";"37.7341134"
"02.09.2024";"135148";"Москва, Балтийская улица, 4";"Сокол";"Магазин Продуктов Мартиросян А. А";"АБ ШС 19 + Ложные сработки ШС 17";"-";"не назначено";"-";"-";"55.807495";"37.5130049"
"02.09.2024";"134911";"Москва, улица Академика Янгеля, 2";"Улица Академика Янгеля";"Магазин табачных изделий МосТабак ИП Пакин В. В";"НКС";"-";"не назначено";"-";"-";"55.5964554";"37.599829"
"02.09.2024";"134032";"Москва, Мичуринский проспект, 21к1";"Раменки";"ПВЗ Озон ООО Небо";"АКБ прибора";"-";"не назначено";"-";"-";"55.699347";"37.50373"
"02.09.2024";"134845";"Москва, Ленинский проспект, 131";"Тропарёво";"Нотариальная контора Серова М. В";"НКС + Потери связи";"-";"не назначено";"-";"-";"55.644145";"37.473492"
"02.09.2024";"134304";"Москва, Ленинский проспект, 95";"Новаторская";"Гастроном ООО Вкусный Дом";"ШС 23 Тампер + Постоянные потери связи";"-";"не назначено";"-";"-";"55.673976";"37.525872"
"02.09.2024";"134425";"Москва, Научный проезд, 10";"Калужская";"Цех пиццерии 2 Берега ООО ОП Топаз";"НКС";"-";"не назначено";"-";"-";"55.6566009";"37.5534245"
"02.09.2024";"134699";"3-я Нововатутинская улица, 2";"Фоминское";"Офис ИП Опейкина И. А";"АКБ прибора";"-";"не назначено";"-";"-";"55.516812";"37.3520512"
"02.09.2024";"132508";"Москва, Даев переулок, 2с2";"Сухаревская";"Салоны красоты ООО Бьянка Люкс";"ШС 19 Тампер";"-";"не назначено";"-";"-";"55.7703043";"37.6342624"
"02.09.2024";"132258";"Саларьевская улица, 14к3";"Саларьево";"ООО МЦ ТИП ТОП на Киевском";"АКБ прибора";"-";"не назначено";"-";"-";"55.618857";"37.411131"
"02.09.2024";"131915";"Москва, Бережковская набережная, 20с9";"Студенческая";"ПВЗ Яндекс Маркет ООО Яндекс";"НКС + АКБ прибора";"-";"не назначено";"-";"-";"55.732358";"37.5486712"
"02.09.2024";"131487";"Москва, Алтуфьевское шоссе, 86";"Алтуфьево";"Квартира Карасева Л. Н";"НКС + АКБ прибора";"-";"не назначено";"-";"-";"55.89711";"37.588853"
"02.09.2024";"131524";"село Жаворонки, 3-я Советская улица, 14В";"с. Жаворонки";"Частный дом Бурлаченко А. Н";"Постоянные перезапуски прибора + АКБ прибора";"-";"не назначено";"-";"-";"55.6441148";"37.0961644"
"02.09.2024";"133673";"рабочий посёлок Малаховка, Быковское шоссе, 48";"пгт. Малаховка";"ПВЗ Все Инструменты";"НКС";"-";"не назначено";"-";"-";"55.625293";"38.011879"
"02.09.2024";"134889";"рабочий посёлок Дрожжино, Новое шоссе, 13";"пгт. Дрожжино";"Офис СМД Медицинские анализы ООО Группа Здоровья";"ШС 20 Тампер";"-";"не назначено";"-";"-";"55.526949";"37.59065"
"02.09.2024";"135184";"деревня Сапроново, улица Западный квартал, 5к2";"д. Сапроново";"Салон красоты ИП Болдырева С. В";"НКС часто + проверить АКБ прибора + проверить 220 V";"-";"не назначено";"-";"-";"55.532528";"37.717995"
"02.09.2024";"135290";"Электрогорск, улица Кржижановского, 14";"Электрогорск";"Магазин Мясной Мир ИП Костанян В. А";"НКС + отсутствует 220 V";"-";"не назначено";"-";"-";"55.8749108";"38.7802075"
"02.09.2024";"130014";"Химки, улица Маяковского, 14";"Химки";"Аптека Планета Здоровья ООО РОСТ";"АКБ прибора";"-";"не назначено";"-";"-";"55.893728";"37.4423959"
"02.09.2024";"133388";"Подольск, улица Свердлова, 29";"Подольск";"ПВЗ Все Инструменты";"НКС + АКБ прибора + проверить 220 V";"-";"не назначено";"-";"-";"55.420937";"37.536523"
"02.09.2024";"134824";"Подольск, Симферопольская улица, 37";"Подольск";"ПВЗ Все Инструменты";"НКС";"-";"не назначено";"-";"-";"55.370191";"37.532987"
"02.09.2024";"134061";"Подольск, Симферопольская улица, 51с1";"Подольск";"Магазин Табака ИП Тушнева О. М";"ШС 18 тампер, батарея";"-";"не назначено";"-";"-";"55.3581504";"37.5317484"
"02.09.2024";"47778";"Лыткарино, улица Степана Степанова, 2";"Лыткарино";"Гараж ГСК 29 бокс 13";"Проблемы с тестами";"-";"не назначено";"-";"-";"55.5778267";"37.9034779"
"02.09.2024";"51344";"Долгопрудный, Зелёная улица, 4";"Долгопрудный";"Храм Сергея Радонежского";"АБ ШС 1/3/4/8 + Тревога ШС 10 ПС";"-";"не назначено";"-";"-";"55.9196375";"37.5213485"
"02.09.2024";"135268";"Королёв, Набережная улица, 10";"Королёв";"Коттедж Шифрина А. М";"НКС";"-";"не назначено";"-";"-";"55.9482692";"37.8354739"
"02.09.2024";"134754";"Жуковский, улица Лацкова, 12";"Жуковский";"Цех пиццерии 2 Берега ООО ОП Топаз";"НКС";"-";"не назначено";"-";"-";"55.606324";"38.0744417"
"02.09.2024";"51537";"Москва, 6-я Радиальная улица, 5к2";"Царицыно";"ООО Советская Аптека";"Потеря связи с ППК";"-";"не назначено";"-";"-";"55.6046071";"37.6586667"
"02.09.2024";"32018";"деревня Фоминское, Московская улица, 10";"Фоминское";"Коттедж Губанок Л. М";"КТС самопроизвольно";"-";"не назначено";"-";"-";"55.5244413";"37.3050618"
"02.09.2024";"40336";"Москва, МКАД, 41-й километр, 4с32";"Тёплый Стан";"Склад сумок ИП Исаева И. В";"Потеря связи с ППК";"-";"не назначено";"-";"-";"55.6110458";"37.4889633"
"02.09.2024";"130810";"Москва, Электролитный проезд, 3Г";"Нагорная";"Пункт приема металлолома ИП Большаков Т.А";"НКС + АКБ прибора";"-";"не назначено";"-";"-";"55.6768195";"37.614834"
"03.09.2024";"131131";"Москва, Флотская улица, 17к2";"-";"Аптечный Пункт ООО Биоритм";"ШС 17 ложно";"-";"не назначено";"-";"-";"55.85772499999999";"37.5068119"
"03.09.2024";"134024";"Москва, проспект Мира, 167";"-";"Кафе Фуд холл Оптимист ООО Сахар";"КТС не прошла";"-";"не назначено";"-";"-";"55.83647";"37.655337"
"04.09.2024";"134952";"посёлок Петровское";"-";"Храм Александра Невского";"Потеря связи ШС 17";"-";"не назначено";"-";"-";"55.5409775";"37.6623075"
"06.09.2024";"137624";"Москва, улица Бажова, 16";"Ростокино";"Кофейня Мадо ИП Дзуганова М Р";"заменить АКБ и восстановить связь";"-";"не назначено";"-";"-";"55.83441";"37.662353"
"06.09.2024";"32130";"Домодедовский р-н ОПК Бор 163";"-";"Коттедж Тарасов А. А";"Потеря связи с ППК";"-";"не назначено";"-";"-";"55.3392731";"37.8085337"
"06.09.2024";"131679";"Москва, Мичуринский проспект, 21к6";"-";"Ломбард Раменки ООО Авто Ломбард Эквивалент";"КТС не работает";"-";"не назначено";"-";"-";"55.699517";"37.506086"
"06.09.2024";"132777";"Раменское, улица Космонавтов, 5А";"-";"Аптека Планета Здоровья ООО Реон";"АКБ прибора";"-";"не назначено";"-";"-";"55.58658";"38.202707"
"06.09.2024";"135040";"Люберцы, улица Шевлякова, 27/1";"Люберцы";"ПВЗ Озон ИП Гельметдинов Т. З";"ШС 18/19/20 Тампер + Проверить АКБ прибора";"-";"не назначено";"-";"-";"55.6982746";"37.8903805"
"06.09.2024";"132264";"Москва, Профсоюзная улица, 104/47";"-";"Магазин Ассортида ИП Кишмирян О. М";"ШС 17 Тампер + АБ ШС 20";"-";"не назначено";"-";"-";"55.6418817";"37.5236028"
"06.09.2024";"134184";"Москва, Дубнинская улица, 12к2";"-";"Гастроном Фермер ИП Хмеленко О. А";"Тревога ШС 1/8";"-";"не назначено";"-";"-";"55.8645973";"37.5701452"
"06.09.2024";"134599";"Москва, проспект Мира, 116";"-";"Пекарня ИП Исаев А. Ю";"АКБ прибора";"-";"не назначено";"-";"-";"55.808954";"37.637968"
"06.09.2024";"135139";"деревня Ямищево, Заречная улица, 17/1";"Ямищево";"Коттедж Жуков И. В";"АКБ прибора";"-";"не назначено";"-";"-";"55.6066158";"37.1356939"
"06.09.2024";"131240";"Чехов, Симферопольское шоссе, 1";"Чехов";"Магазин Фамилия ООО Максима Групп";"АКБ прибора";"-";"не назначено";"-";"-";"55.16164389999999";"37.4683081"
"-";"90149";"Ярославль, Победы 41 ТЦ";"ярославль";"-";"-";"-";"не назначено";"-";"-";"57.627753";"39.871153"
"-";"90846";"Н.Арбат д.3";"-";"Рекламный щит билборд ООО Расвэро";"долбит тревога по 1 зоне";"-";"не назначено";"-";"-";"55.7526897";"37.5985075"
"-";"95077";"л Садовая Триумфальная 22/31 напротив дом 2";"-";"Рекламный щит билборд ООО Расвэро";"заменить АКБ";"-";"не назначено";"-";"-";"55.7698655";"37.5981998"
"-";"131113";"Тверь Калинина 6";"тверь";"Все Инструменты";"АБ 19 зоны";"-";"не назначено";"-";"-";"56.8561343";"35.8766234"
"-";"131746";"г.Донской, Октябрьская 95 Б";"донской";"Все Инструменты";"тампер 25 зоны";"-";"не назначено";"-";"-";"53.966789";"38.304784"
"-";"132549";"Тверь ";"тверь";"Яндекс Маркет";"НКС";"-";"не назначено";"-";"-";"56.8586556";"35.9118279"
"-";"132882";"Тверь Оснабрюкская 38 А";"тверь";"Все Инструменты";"проблемы с постановкой, потери зоны 18";"-";"не назначено";"89038082813";"-";"56.821061";"35.873934"
"-";"137026";"Большая Якиманка 24";"-";"Рекламный щит билборд ООО Расвэро";"НКС";"-";"не назначено";"-";"-";"55.7375157";"37.6127607"
"-";"137122";"Новый Арбат д.23";"-";"Рекламный щит билборд ООО Расвэро";"тревога СМК";"-";"не назначено";"-";"-";"55.7520563";"37.5819504"
"-";"137513";"г Мытищи, б-р Тенистый, стр. 15А/1 ";"Мытищи";"Мытищи КОС";"разряд АКБ/заменить прибор";"-";"не назначено";"Осадчий Андрей Валентинович +79266409171";"-";"55.956733";"37.684371"
"-";"-";"2024 год";"-";"-";"-";"-";"-";"-";"-";"-";"-"
